name,school_code,points,is_cc,html_link
Wanaaring Public School,3365,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-bourke
Warren Central School,3392,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-nyngan-area
Wee Waa High School,8270,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-narrabri-area
Wee Waa Public School,3416,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-narrabri-area
Weethalle Public School,3415,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Weilmoringle Public School,4305,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-brewarrina
Wentworth Public School,3421,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-sunraysia-area
West Wyalong High School,8392,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
West Wyalong Public School,3519,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
White Cliffs Public School,3435,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-central-darling-area
Whitton-Murrami Public School,3438,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-leeton-area
Wilcannia Central School,3442,8,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-central-darling-area
Willyama High School,8491,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-broken-hill
Wyalong Public School,3518,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Wytaliba Public School,4556,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-glenn-innes-area
Yanco Public School,3536,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-leeton-area
Yenda Public School,3554,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Yetman Public School,3559,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-far-north-area
Yeoval Central School,3555,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-parkes-area
Yoogali Public School,3561,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
